ID,title,authors,year,publisher,subject
5487,The Nibelungenlied,A. Hatto,1965,Ballantine Books,Literary Collections
2353,Jack,A. M. Homes,2004,A. Mondadori,Children of divorced parents
5428,The Mistress's Daughter,A. M. Homes,2007,Bantam Doubleday Dell,Biography & Autobiography
588,Beauty's Punishment,A. N. Roquelaure;Anne Rice,1984,A. Mondadori,Fiction
4966,The Future of the Universe,A.J. Meadows,2007,Dell Publishing Company,Science
3926,Sleeping Beauty Novels,A.N. Roquelaure,1999,Vintage Books USA,Fiction
2319,Iron Fist,Aaron Allston,1998,Jouvence,Fiction
6314,To America with Love,Abbie Hoffman,2000,Warner Books,Biography & Autobiography
5418,The Mini Zen Gardening Kit,Abd Al-Hayy Moore,2000,W.W. Norton &amp; Company,Gardening
5264,The Letters of John and Abigail Adams,Abigail Adams,1876,Bantam,Literary Collections
5268,The Liberated Bride,Abraham B. Yehoshua;Hillel Halkin,2004,The Lyons Press,Fiction
3783,Selected Speeches and Writings,Abraham Lincoln,1992,Dell,History
4012,Speeches and Writings 1832-1858,Abraham Lincoln,1989,A. Mondadori,Illinois
4980,The Gettysburg Address,Abraham Lincoln,1997,Brooks Cole,Juvenile Nonfiction
1177,Data Structures and Algorithms in C++,Adam Drozdek,2004,Dtv,Computers
2124,"How to Buy, Sell, and Profit on eBay",Adam Ginsberg,2010,A. Mondadori,Business & Economics
3330,Paris to the Moon,Adam Gopnik,2001,A. Mondadori,Biography & Autobiography
5207,The King in the Window,Adam Gopnik,2006,Distribooks Int'l+inc,Juvenile Fiction
2642,Little Miss Scary,Adam Hargreaves;Roger Hargreaves,2003,Signet Book,Children's stories
796,Bury the Chains,Adam Hochschild,2006,A. Mondadori,History
1641,Fire on the Mountain (Hb),Adam Hochschild,2005,Thorndike Press,Antislavery movements
2482,King Leopold's Ghost,Adam Hochschild,2006,Touchstone,History
415,Angry Black White Boy,Adam Mansbach,2005,Warner Vision,Fiction
1736,Frankenstein Makes a Sandwich,Adam Rex,2006,A. Mondadori,Juvenile Nonfiction
973,CliffsNotes On Joyce's Dubliners,Adam Sexton,2003,A. Mondadori,Literary Criticism
3440,Political Philosophy,Adam Swift,2006,A. Mondadori,Philosophy
3441,Political Philosophy: A Beginner's Guide for Students and Politicians,Adam Swift,2001,Penguin Books,Philosophy
2137,How to Talk So Teens Will Listen & Listen So Teens Will Talk,Adele Faber,2006,Random House Inc,Communication in families
4757,The Dead Yard,Adrian McKinty,2006,New Amer Library,Fiction
5278,The Lighthouse Land,Adrian McKinty,2006,Sirio,Juvenile Fiction
444,五輪書 : 英文版,武蔵·宮本,2002,A. Mondadori,Philosophy
2565,Legend of the Five Rings,Aeg,2003,Penguin Books Ltd,Games
285,"Aeschylus, 1",Aeschylus,1998,Warner Books,Drama
286,"Aeschylus, 2",Aeschylus,1998,Harlequin,Drama
5533,The Oresteia,Aeschylus,1984,Lomond Books,Drama
5534,The Oresteia,Aeschylus,2003,Bantam,Drama
288,Aeschylus: The suppliant maidens,Aeschylus;David Grene,1991,Bantam Dell Pub Group,Drama
5536,The Oresteia Trilogy,Aeschylus;E. D. A. Morshead,1996,Bantam Books,Drama
3488,Prometheus Bound and Other Plays,Aeschylus;Philip Vellacott,1961,Simon &amp; Schuster,Drama
4651,The Complete Greek Tragedies: Euripides,Aeschylus;Sophocles;Euripides,1992,Dell Publishing Company,Drama
5535,The Oresteia of Aeschylus,Aeschylus;Ted Hughes,2000,Penguin Books,Drama
164,A Murder is Announced,Agatha Christie,2005,University of Queensland Press,Fiction
165,A Murder is Announced,Agatha Christie,2002,Tyndale House Publishers,"Detective and mystery stories, English"
376,An Autobiography,Agatha Christie,1977,Berkley Publishing Group,"Authors, English"
448,Appointment with Death,Agatha Christie,2001,Pocket,Detective and mystery stories
670,Black Coffee,Agatha Christie,1999,Gustav Lubbe Verlag GmbH,Fiction
1111,Crooked House,Agatha Christie,2002,J'ai lu,Fiction
1211,Death in the Clouds,Agatha Christie,2001,Bantam Books,Detective and mystery stories
1224,Death on the Nile,Agatha Christie,2007,Pocket Books,Fiction
1484,Endless Night,Agatha Christie,2002,Avon Trade,FICTION
1540,Evil Under the Sun,Agatha Christie,1940,Rowohlt Tb.,Fiction
1932,Hallowe'en Party,Agatha Christie,2001,Bantam Books,"Poirot, Hercule (Fictitious character)"
2034,Hercule Poirot's Casebook,Agatha Christie,1989,Hyperion,Detective and mystery stories
2035,Hercule Poirot's Christmas,Agatha Christie,2001,Berkley Publishing Group,Christmas stories
2922,Miss Marple,Agatha Christie,1997,Aladdin,"Detective and mystery stories, English"
3001,Mrs McGinty's Dead,Agatha Christie,2002,A. Mondadori,Belgians
3013,Murder at the Vicarage,Agatha Christie,2005,Dell,Fiction
3016,Murder in Mesopotamia,Agatha Christie,2001,Bantam,Detective and mystery stories
3019,Murder on the Orient Express,Agatha Christie,1934,Bantam Dell Pub Group,Fiction
3020,Murder on the Orient Express,Agatha Christie,2004,Avon,Fiction
3332,Partners in Crime,Agatha Christie,2001,Avon,"Beresford, Tommy (Fictitious character)"
3438,Poirot,Agatha Christie,2005,Random House,Authors
4183,Taken at the Flood,Agatha Christie,2002,Harvest Books,Fiction
4262,The A.B.C. Murders,Agatha Christie,1936,St. Martin's Paperbacks,Fiction
4431,The Big Four,Agatha Christie,2002,Berkley Publishing Group,Detective and mystery stories
